trial,n,N,alpha,beta,family,k,x,y
1,34,-23,35,6,0,0,0,0
2,42,-40,13,2,0,0,0,0
3,86,95,10405,1122,0,0,0,0
4,47,24,48,7,0,0,0,0
5,12,82,7,2,0,0,0,0
6,8,90,3,1,0,0,0,0
7,50,53,99,14,0,0,0,0
8,65,48,129,16,0,0,0,0
9,61,-94,1766319049,226153980,0,0,0,0
10,11,89,10,3,1,0,10,1
10,11,89,10,3,1,1,133,40
10,11,89,10,3,1,2,2650,799
10,11,89,10,3,1,3,52867,15940
10,11,89,10,3,1,4,1054690,318001
10,11,89,10,3,1,5,21040933,6344080
10,11,89,10,3,1,6,419763970,126563599
10,11,89,10,3,1,7,8374238467,2524927900
10,11,89,10,3,1,8,167065005370,50371994401
10,11,89,10,3,1,9,3332925868933,1004914960120
10,11,89,10,3,1,10,66491452373290,20047927207999
10,11,89,10,3,1,11,1326496121596867,399953629199860
10,11,89,10,3,1,12,26463430979564050,7979024656789201
10,11,89,10,3,1,13,527942123469684133,159180539506584160
10,11,89,10,3,1,14,10532379038414118610,3175631765474893999
10,11,89,10,3,1,15,210119638644812688067,63353454769991295820
10,11,89,10,3,1,16,4191860393857839642730,1263893463634351022401
10,11,89,10,3,1,17,83627088238511980166533,25214515817917029152200
10,11,89,10,3,1,18,1668349904376381763687930,503026422894706232021599
10,11,89,10,3,1,19,33283370999289123293592067,10035313942076207611279780
10,11,89,10,3,2,0,67,20
10,11,89,10,3,2,1,1330,401
10,11,89,10,3,2,2,26533,8000
10,11,89,10,3,2,3,529330,159599
10,11,89,10,3,2,4,10560067,3183980
10,11,89,10,3,2,5,210672010,63520001
10,11,89,10,3,2,6,4202880133,1267216040
10,11,89,10,3,2,7,83846930650,25280800799
10,11,89,10,3,2,8,1672735732867,504348799940
10,11,89,10,3,2,9,33370867726690,10061695198001
10,11,89,10,3,2,10,665744618800933,200729555160080
10,11,89,10,3,2,11,13281521508291970,4004529408003599
10,11,89,10,3,2,12,264964685547038467,79889858604911900
10,11,89,10,3,2,13,5286012189432477370,1593792642690234401
10,11,89,10,3,2,14,105455279103102508933,31795962995199776120
10,11,89,10,3,2,15,2103819569872617701290,634325467261305287999
10,11,89,10,3,2,16,41970936118349251516867,12654713382230905983860
10,11,89,10,3,2,17,837314902797112412636050,252459942177356814389201
10,11,89,10,3,2,18,16704327119823899001204133,5036544130164905381800160
10,11,89,10,3,2,19,333249227493680867611446610,100478422661120750821613999
11,76,-72,57799,6630,1,0,2,1
11,76,-72,57799,6630,1,1,619478,71059
11,76,-72,57799,6630,1,2,71610417842,8214278281
11,76,-72,57799,6630,1,3,8278021081080038,949554140655979
11,76,-72,57799,6630,1,4,956922680859079814882,109766559543335582161
11,76,-72,57799,6630,1,5,110618348053669887359649398,12688794749140952485991299
11,76,-72,57799,6630,1,6,12787259797351208958141671295122,1466799295301429265932286599641
11,76,-72,57799,6630,1,7,1478181657943586705089591031013863558,169559064925565825534099513859309019
11,76,-72,57799,6630,1,8,53095087864367478981282114251286131650,-135688495615671876086320893866438885727
11,76,-72,57799,6630,1,9,11436610526826202656959382340002581270,-3182518843984048095693704760464514445
11,76,-72,57799,6630,1,10,-786895654923295000952247052397988750,88113810282159113993388627430934656553
11,76,-72,57799,6630,1,11,-119608560459311978013793961160593645018,111334471422216606642123210827019215691
11,76,-72,57799,6630,1,12,-156452348319463699716320827645810921822,134714338299508853874508877430835314289
11,76,-72,57799,6630,1,13,-131715358867991677807604455673444671050,-85495494625568359040444468566787108253
11,76,-72,57799,6630,1,14,58905803609040164953263423257348482642,-81837213013944380922088012611041616519
11,76,-72,57799,6630,1,15,134356501793387579563536841529661674950,57428277693245272787823867966047433147
11,76,-72,57799,6630,1,16,116197502935032825434711321808245112706,107185736192504400810360765396181248321
11,76,-72,57799,6630,1,17,98718311927198732409962393802266110550,37759778219147974899728594249780441939
11,76,-72,57799,6630,1,18,154049963712664057130627208202631069234,45736345997427213309587793432497670089
11,76,-72,57799,6630,1,19,112161238060807488514095294650033285990,25229981750949356378740948233185114411
11,76,-72,57799,6630,2,0,78,9
11,76,-72,57799,6630,2,1,9043242,1037331
11,76,-72,57799,6630,2,2,1045380688638,119913388929
11,76,-72,57799,6630,2,3,120843916836132282,13861747932377211
11,76,-72,57799,6630,2,4,13969315097377838845998,1602390337367027448249
11,76,-72,57799,6630,2,5,1614824886505839498083544522,185233118205091891030310691
11,76,-72,57799,6630,2,6,186670527216332719202083740808158,21412577996669822081954827809969
11,76,-72,57799,6630,2,7,21578739603538804787816636771857903962,2475251191073804974824722294146485771
11,76,-72,57799,6630,2,8,-150891394191647004304388731146516792818,-43383416172118289579619173326431488407
11,76,-72,57799,6630,2,9,109163861691694749066017240618445155434,42905765069961893422941418278557080371
11,76,-72,57799,6630,2,10,-96602032281668001481946864954527193410,-91766265971969247386588587485641967391
11,76,-72,57799,6630,2,11,-64456313511774581595220165715553613062,-77213199435361281050465505576479615845
11,76,-72,57799,6630,2,12,-101621200967819248728365195615277507090,6822273294499019991027892875196007961
11,76,-72,57799,6630,2,13,84737680179895762653535190368484907274,-56165025802284104209513934354106263485
11,76,-72,57799,6630,2,14,-100521916497357248075522726577914616930,16085885773505449804698439286432233489
11,76,-72,57799,6630,2,15,85307041444530013849787043310280229530,-90746551443432199602531047265842482133
11,76,-72,57799,6630,2,16,40905452481227087162031935709119830990,88867795042036545723697630404740921545
11,76,-72,57799,6630,2,17,-60581849916596544335627812327123840086,-94539522348167191678187790575412615597
11,76,-72,57799,6630,2,18,169801488625957342646914226650773883518,-160076165613367571137020288284399582655
11,76,-72,57799,6630,2,19,-74989434080834578974454905630998874054,165060108917322032718054830107795840187
11,76,-72,57799,6630,3,0,1142,131
11,76,-72,57799,6630,3,1,132014738,15143129
11,76,-72,57799,6630,3,2,15260639682182,1750515426011
11,76,-72,57799,6630,3,3,1764099425848860098,202356082200876449
11,76,-72,57799,6630,3,4,203926365414015889926422,23391958388506400325491
11,76,-72,57799,6630,3,5,23573479987365309417865670258,2704063605592206782625232169
11,76,-72,57799,6630,3,6,2725047139375528672672419860557862,312584344655855961269405187946571
11,76,-72,57799,6630,3,7,-25272367726979579947153525808866150238,36134125070823573805228494133622482289
11,76,-72,57799,6630,3,8,-111047212175913273510944323999000420426,66535669959501068024197364131724074851
11,76,-72,57799,6630,3,9,1648981986983954148878645382274711634,-48097660638451775294581375350901396359
11,76,-72,57799,6630,3,10,-168340899099433027368561545030850739258,153965334426671420499060257461234808507
11,76,-72,57799,6630,3,11,-145185970538171625122685921137322923646,3907282235925637316756267967763193921
11,76,-72,57799,6630,3,12,27137535141868572220463055015480330326,-34654329980189894006099781927960530861
11,76,-72,57799,6630,3,13,126832656129688497360413687161406535730,169161427981237399869905717857943807689
11,76,-72,57799,6630,3,14,168184589034412513922609624092078192998,90908626411398669082082050524202233387
11,76,-72,57799,6630,3,15,-17461117010075587977908897751445680030,86179224460482474716344071005925078545
11,76,-72,57799,6630,3,16,-83388144745266319497200610460767943946,-51493420952742762895169080043131174333
11,76,-72,57799,6630,3,17,33594990058867341057620181028555535890,-63209971641846265659651092962092624871
11,76,-72,57799,6630,3,18,-45604698978525609219507469346991591162,-11543539880249012408929769581314068837
11,76,-72,57799,6630,3,19,149123196437372540380731185822389407042,-99752408383774941912017227818479675679
11,76,-72,57799,6630,4,0,1822,209
11,76,-72,57799,6630,4,1,210620698,24159851
11,76,-72,57799,6630,4,2,24347331445582,2792830455689
11,76,-72,57799,6630,4,3,2814502820235767338,322845614992577171
11,76,-72,57799,6630,4,4,325350896989266901292542,37320307399119105357569
11,76,-72,57799,6630,4,5,37609912987350772435379502778,4314152894400524726131684091
11,76,-72,57799,6630,4,6,4347630721186423694995732860838702,498707446249591549892251312193849
11,76,-72,57799,6630,4,7,162295049149159829843391347380084559562,57649583367246131090043942460852872611
11,76,-72,57799,6630,4,8,-144930622073955539766326695826515005730,86663808551947030579798753670402738225
11,76,-72,57799,6630,4,9,-50010201856397118427978597753825899942,-147873114743707992725534549933033015157
11,76,-72,57799,6630,4,10,122748046103415281567589207370277936398,161720321635221965700702422455213635049
