D,N,num_classes,x,y
113,-87,0,0,0
140,136,0,0,0
188,-20,0,0,0
60,-118,0,0,0
31,-122,0,0,0
67,76,0,0,0
53,-156,0,0,0
33,44,0,0,0
173,-77,0,0,0
123,136,0,0,0
61,-109,2,41781204,5349535
61,-109,2,147597873030712296,18897971147584135
61,-109,2,521409869452060980884871804,66759692850860495956025695
61,-109,2,1841952369499557005545550013625676496,235837834375728020078533331676343975
61,-109,2,6506951115195508271391597383046422919907872804,833129718665510850148776106591862435481733855
61,-109,2,22986703411363239236150128022927335903941404103922810296,2943145784733805347632097607842794156279306667593063815
61,-109,2,81203704218408345035805409986175016028515075114084847982968384204,10397068927118747558728152378454607381095268556372816757932490015
61,-109,2,286863299220672632571628662020308275681942880692420494485231165064628993696,36729081799471672993064417732544255050457053061941279014365851271400527655
61,-109,2,1013384219744921850927287421143298319342912941007738242626011436930150167382923046004,129750553669372028276699982923053862303545345580966708703901426955178425053423110175
61,-109,2,3579919702582914772331548872506313727718515919680854353030272687190752151672759741851308066696,458361749129017322789074563590457803486485910537354683786613329036486163716994313046455919495
61,-109,2,2304,295
61,-109,2,8139239958996,1042122889375
61,-109,2,28752989167913227427304,3681443021803964408455
61,-109,2,101573904965951586359693395868796,13005205874440929355702043429215
61,-109,2,358823846445351966769037032677191331562704,45942685744383431488798189132691510824615
61,-109,2,1267594790423752232725956283442365447154064630428196,162298881985050399584296137289114679064512301753055
61,-109,2,4477953649477272701081451713925634799086217356327743911448504,573343213763194907975665211357381524465540967829822770064775
61,-109,2,15818989663221551327708107335337342397360590736229864068816458965077196,2025414080169620281952140100549257867263992973846309619054205791044895
61,-109,2,55882765556164641630446189346808684733905225764665851895776099353157610189164704,7155054943832826909644288718070664159547343391656409432509213136747600535344935
61,-109,2,197413586625309371768412055562236543080556485522212428249283583116567866284059761182215796,25276219687867094482023603873398388984227955599504709419904613089030347842190507161288735
45,-66,0,0,0
57,-129,2,264,35
57,-129,2,79764,10565
57,-129,2,24088464,3190595
57,-129,2,7274636364,963549125
57,-129,2,2196916093464,290988645155
57,-129,2,663461385589764,87877607287685
57,-129,2,200363141532015264,26538746412235715
57,-129,2,60509005281283019964,8014613538887898245
57,-129,2,18273519231805940013864,2420386749997733034275
57,-129,2,5518542299000112601166964,730948783885776488452805
57,-129,2,36,5
57,-129,2,11136,1475
57,-129,2,3363036,445445
57,-129,2,1015625736,134522915
57,-129,2,306715609236,40625474885
57,-129,2,92627098363536,12268758892355
57,-129,2,27973076990178636,3705124560016325
57,-129,2,8447776623935584536,1118935348366037795
57,-129,2,2551200567351556351236,337914770081983397765
57,-129,2,770454123563546082488736,102049141629410620087235
190,-172,0,0,0
192,-153,0,0,0
174,192,0,0,0
140,-76,0,0,0
138,200,0,0,0
185,-140,0,0,0
54,-89,0,0,0
159,-200,0,0,0
82,30,0,0,0
188,197,2,4703,343
188,197,2,43333345,3160409
188,197,2,399273436127,29120008183
188,197,2,3678905397140833,268311752237753
188,197,2,33897433929982199135,2472224455998647959
188,197,2,312330952551950585689057,22779075869259790056473
188,197,2,2877817362916238766556772063,209886402587135249581694263
188,197,2,26516208869579271443103512099425,1933893290658788320385940882809
188,197,2,244320345646486044160516993927329887,17818892570243672996900809712507863
188,197,2,2251167638270513541315732138942905479393,164183274208331912334655740305106566873
188,197,2,97,7
188,197,2,889055,64841
188,197,2,8191752673,597444967
188,197,2,75478808239967,5504857861097
188,197,2,695461730931303265,50721759734702791
188,197,2,6407984313322220043743,467350288690693655177
188,197,2,59043166767489204551744737,4306165509274291604098087
188,197,2,544023732187661217417555962975,39677008535103034149466118441
188,197,2,5012634609333943689796156091106913,365583952336273847378889211217287
188,197,2,46186414746379224970120564805903133407,3368490497149418694646051042689963977
92,-46,0,0,0
78,57,0,0,0
92,178,0,0,0
87,-113,0,0,0
60,56,0,0,0
167,-25,0,0,0
115,-184,0,0,0
69,-165,0,0,0
93,-175,0,0,0
163,-30,0,0,0
96,91,0,0,0
159,-121,0,0,0
122,200,0,0,0
113,-112,0,0,0
40,156,0,0,0
174,193,0,0,0
190,20,0,0,0
87,-47,0,0,0
188,-114,0,0,0
60,-87,0,0,0
75,-4,0,0,0
128,-2,0,0,0
152,-188,0,0,0
82,-78,0,0,0
188,56,0,0,0
27,-133,0,0,0
52,104,0,0,0
179,-162,1,18423,1377
179,-162,1,154392496083,11539836963
179,-162,1,1293873962023876437,96708680481463083
179,-162,1,10843207228823980177667457,810459360080451310197897
179,-162,1,90870630724579766086565886115503,6791989830405319060328178513657
179,-162,1,761534051136871920099949659339905983803,56919727414524533500195393328111198043
179,-162,1,6381975192828373306013295544359248338896221757,477011222019222899045877072835709318125004403
179,-162,1,53483632545481994687128805373939032014593334830814137,3997554385234279047894634614200334888407821287791217
179,-162,1,448215303856801835940715154758560129380193915834512513775783,33501184721104579807335134590637724628437837967313145766737
179,-162,1,3756232496747565758321742615247045350654990757105850767362016554723,280753998460435245154602274347024305596038825723142025225190298323
44,144,0,0,0
77,-190,0,0,0
134,-160,0,0,0
167,-161,0,0,0
27,-164,0,0,0
160,-132,0,0,0
76,133,0,0,0
91,-104,1,286,30
91,-104,1,900614,94410
91,-104,1,2835132586,297202650
91,-104,1,8924996480114,935593847790
91,-104,1,28095886084266286,2945249135640270
91,-104,1,88445840468273788214,9271643343401722170
91,-104,1,278427477698239801031386,29187130299779485750890
91,-104,1,876489611348218425373014914,91881076912062477742079550
91,-104,1,2759189018096713904834449917886,289241600932042380152580672510
91,-104,1,8685926152478844024200422968490214,910532467852992500657846214981930
134,-73,0,0,0
12,-182,0,0,0
185,-10,0,0,0
168,164,0,0,0
6,-96,1,0,4
6,-96,1,48,20
6,-96,1,480,196
6,-96,1,4752,1940
6,-96,1,47040,19204
6,-96,1,465648,190100
6,-96,1,4609440,1881796
6,-96,1,45628752,18627860
6,-96,1,451678080,184396804
6,-96,1,4471152048,1825340180
164,35,0,0,0
73,15,0,0,0
185,22,0,0,0
157,-34,0,0,0
127,95,0,0,0
96,101,0,0,0
135,194,0,0,0
136,67,0,0,0
11,77,2,-11,2
11,77,2,-44,-13
11,77,2,-869,-262
11,77,2,-17336,-5227
11,77,2,-345851,-104278
11,77,2,-6899684,-2080333
11,77,2,-137647829,-41502382
11,77,2,-2746056896,-827967307
11,77,2,-54783490091,-16517843758
11,77,2,-1092923744924,-329528907853
11,77,2,11,2
11,77,2,176,53
11,77,2,3509,1058
11,77,2,70004,21107
11,77,2,1396571,421082
11,77,2,27861416,8400533
11,77,2,555831749,167589578
11,77,2,11088773564,3343391027
11,77,2,221219639531,66700230962
11,77,2,4413304017056,1330661228213
167,110,0,0,0
74,127,2,181,21
74,127,2,1337739,155509
74,127,2,9896592941,1150455561
74,127,2,73214993239779,8511070084769
74,127,2,541644510091292101,62964895336665501
74,127,2,4007086012440385723419,465814287189581291629
74,127,2,29644421778389463490561661,3446094033663627058805841
74,127,2,219309428309439238462789444659,25494203195229225791464320089
74,127,2,1622451120988809707758252821025621,188606111792211778741625981212581
74,127,2,12002893173765785908556315907158099499,1395307989544579543901323217546354149
74,127,2,1299,151
74,127,2,9609821,1117119
74,127,2,71093454459,8264446211
74,127,2,525949366477861,61140371951859
74,127,2,3890973342109761219,452316463435406671
74,127,2,28785420258978647020301,3346237135354766600199
74,127,2,212954535184950688546425579,24755461875038099872865531
74,127,2,1575437622512844934887809413141,183140903605294727504692598139
74,127,2,11655087318395491643349325491991539,1354876380116508519041615968166791
74,127,2,86224334406052224664653375101943992381,10023375276961026418575147427805321679
125,195,0,0,0
95,167,0,0,0
182,-42,0,0,0
84,-60,0,0,0
97,76,0,0,0
86,175,0,0,0
54,-95,4,-11,2
54,-95,4,1793,244
54,-95,4,1739221,236678
54,-95,4,1687042577,229577416
54,-95,4,1636429560469,222689856842
54,-95,4,1587334986612353,216008931559324
54,-95,4,1539713300584421941,209528440922687438
54,-95,4,1493520314231902670417,203242371686075255536
54,-95,4,1448713165091645005882549,197144891007052075182482
54,-95,4,1405250276618581423803402113,191230341034468826851752004
54,-95,4,11,2
54,-95,4,12463,1696
54,-95,4,12089099,1645118
54,-95,4,11726413567,1595762764
54,-95,4,11374609070891,1547888235962
54,-95,4,11033359072350703,1501449993120376
54,-95,4,10702346925571111019,1456404945438528758
54,-95,4,10381265484444905337727,1412711295625379774884
54,-95,4,10069816817564632606484171,1370328500351672943108722
54,-95,4,9767711931772209183384308143,1329217232629827129435685456
54,-95,4,529,72
54,-95,4,513173,69834
54,-95,4,497777281,67738908
54,-95,4,482843449397,65706670926
54,-95,4,468357648137809,63735403059312
54,-95,4,454306435850225333,61823275260861714
54,-95,4,440676774417070435201,59968513267632803268
54,-95,4,427456016878122471919637,58169396046328558308246
54,-95,4,414631895695004380691612689,56424254196425433926195352
54,-95,4,402192511368137371148392388693,54731468401136624579851183194
54,-95,4,43,6
54,-95,4,42239,5748
54,-95,4,40971787,5575554
54,-95,4,39742591151,5408281632
54,-95,4,38550272444683,5246027607486
54,-95,4,37393724528751359,5088641370979788
54,-95,4,36271874242616373547,4935976883822786874
54,-95,4,35183680621613353589231,4787892488666732287992
54,-95,4,34128133931090710365180523,4644250778029846496565366
54,-95,4,33104254729477367440871518079,4504918466796462434936117028
54,-148,0,0,0
17,188,0,0,0
149,16,3,7446,610
149,16,3,384239505937054,31478126838810
149,16,3,19828096773358735553495046,1624380979987606637670770
149,16,3,1023198852743906492153301930882786254,83823716120626939378963384122652650
149,16,3,52800624498823399041524259287766879765324989046,4325595701277579171278795352561523152031708930
149,16,3,2724696123328753093560503507155651934088617023716415549054,223215803794539873515842505049829813529320382338846226490
149,16,3,140603809802442209095161236035276881805741047540533943307704044089446,11518712913674861868749536245699093841099534576232910966576517859090
149,16,3,7255646294533971295672768202175623141863765001467392653333518573791448227745454,594405704847792484776305798496569775209761119515344868514958668567603542616330
149,16,3,374416619473920858636131991515485532984564663863078264809141327365271815695807240542156246,30673404624586695181195502915422297644831862757329733877142628776028946657279422812665250
149,16,3,19321201619749448785627857182745504832239724761431302228572175955757356147726663389047940640277135454,1582854510968293635100566740185655884478170402084851476500811116031057076313358003652114682631278170
149,16,3,27721454,2271030
149,16,3,1430523577396686246,117193057765845550
149,16,3,73819998961375678057305099454,6047569952184136927932132870
149,16,3,3809369053933727565181867040065281451446,312075672601992787707318884003942811710
149,16,3,196576710826839550035179836062757256505192973271054,16104191633998781981167927090177724511719087002710
149,16,3,10144042935297906159626608599565004013225942977342540925983046,831032377571170821317717607991495117833343987840515621841870
149,16,3,523467946128223221043303978222565575285771134405156254905326005125676254,42884165083678192255689350216748587660582293363588990118707054718336550
149,16,3,27012769205678952302224466514688229195783195588418975199011493171640152373047721046,2212972279490596333001190394733147165687194486701591852373957144041789849311480030
149,16,3,1393952973732874859605874517201759477885459123284545067965589963253771225337776863130009995054,114197077178441064021805557383170150846000623761888734995695055889781836096136249748455190390
149,16,3,71932828440640651038018883899549323080269474604777406773276786125658012885523461136697917377965105865446,5892966919179269541547953207224287915872672229599224613363516725744809560085632090628222429360387470190
149,16,3,103206965796,8455044080
149,16,3,5325838894408356956804,436309722584116143840
149,16,3,274831836305104876048611331772196,22515101307600561795084693004240
149,16,3,14182279964596414981265598836861111960947204,1161857645273503028007408826183294965343680
149,16,3,731855041607699145957575488137385978201953674163144996,59955901127781764038309021277936315795607008879380400
149,16,3,37766269123417981303536770255677002785588251616029256151019331204,3093933318481665173225989138709831273863726137409857321271055520
149,16,3,1948871022831565249502011615761375601512044127649349196478585409378848604196,159657735087820996093069582107418746161254037093107233979035398139849116560
149,16,3,100568532497096444887210393161416075120277695311918843198527135744497713493408437708804,8238895202137785299970947063285708401283649864228906951043373932308915041383097535360
149,16,3,5189686546790873628391812191410159020682031331423697424957626624052462906660727565625786669429796,425155687661931456766486908942039556177362677433649003059238815935028999756968600534075861156720
149,16,3,267805900963303524065095519130164947082338421713861523985607246173648826215447698085262957350223448859920004,21939514257249909534889394689929283725138074232627511150700896269136809961141731960050868452394039920239200
43,42,0,0,0
29,110,0,0,0
124,-152,0,0,0
126,182,0,0,0
59,-120,0,0,0
163,-30,0,0,0
129,-130,0,0,0
98,-140,0,0,0
48,124,0,0,0
170,30,0,0,0
14,5,0,0,0
90,-156,0,0,0
174,8,0,0,0
110,-149,2,29,3
110,-149,2,1269,121
110,-149,2,53269,5079
110,-149,2,2236029,213197
110,-149,2,93859949,8949195
110,-149,2,3939881829,375652993
110,-149,2,165381176869,15768476511
110,-149,2,6942069546669,661900360469
110,-149,2,291401539783229,27784046663187
110,-149,2,12231922601348949,1166268059493385
110,-149,2,51,5
110,-149,2,2171,207
110,-149,2,91131,8689
110,-149,2,3825331,364731
110,-149,2,160572771,15310013
110,-149,2,6740231051,642655815
110,-149,2,282929131371,26976234217
110,-149,2,11876283286531,1132359181299
110,-149,2,498520968902931,47532109380341
110,-149,2,20926004410636571,1995216234793023
106,93,0,0,0
30,-14,2,4,1
30,-14,2,104,19
30,-14,2,2284,417
30,-14,2,50144,9155
30,-14,2,1100884,200993
30,-14,2,24169304,4412691
30,-14,2,530623804,96878209
30,-14,2,11649554384,2126907907
30,-14,2,255759572644,46695095745
30,-14,2,5615061043784,1025165198483
30,-14,2,-4,1
30,-14,2,16,3
30,-14,2,356,65
30,-14,2,7816,1427
30,-14,2,171596,31329
30,-14,2,3767296,687811
30,-14,2,82708916,15100513
30,-14,2,1815828856,331523475
30,-14,2,39865525916,7278415937
30,-14,2,875225741296,159793627139
161,62,0,0,0
185,200,0,0,0
140,-164,0,0,0
180,-195,0,0,0
72,15,0,0,0
106,-138,0,0,0
183,188,0,0,0
12,-89,0,0,0
116,-83,2,31,3
116,-83,2,620511,57613
116,-83,2,12163256591,1129330023
116,-83,2,238424155076271,22137127053233
116,-83,2,4673590275641807551,433931963368143243
116,-83,2,91611716344706556538431,8505934323805216796053
116,-83,2,1795772859115347645624516911,166733324181297896268087663
116,-83,2,35200739492767328204825223950991,3268306612095867038841837574073
116,-83,2,690004893741452308355636394262808671,64065346043569861514079803858891283
116,-83,2,13525475891919208655619856395514351617951,1255808909877749813303125276400149355293
116,-83,2,12849,1193
116,-83,2,251866129,23385183
116,-83,2,4937079847809,458396355973
116,-83,2,96776638924885889,8985485346397563
116,-83,2,1897015671268533348369,176133483301688673953
116,-83,2,37185301091429151769843249,3452568530694216040429143
116,-83,2,728906270097178561723934018529,67677248162534539522803387133
116,-83,2,14288020669259593075483402861362209,1326609415029433513031775954151923
116,-83,2,280073780429920273368447101164488002289,26004197685729707559914332730482607513
116,-83,2,5490006229699276529308707001542890959506769,509734281709064312560007237151144118317903
148,-77,0,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
173,0,1,0,0
73,-44,0,0,0
47,-176,2,24,4
47,-176,2,2468,360
47,-176,2,236904,34556
47,-176,2,22740316,3317016
